2013-12-09,9,29.0a1
2013-12-10,7720,29.0a1
2013-12-10,248,28.0a2
2013-12-11,832,28.0a2
2013-12-11,48149,29.0a1
2013-12-12,1448,28.0a2
2013-12-12,70134,29.0a1
2013-12-13,2554,28.0a2
2013-12-13,78404,29.0a1
2013-12-14,22007,28.0a2
2013-12-14,77465,29.0a1
2013-12-15,82916,29.0a1
2013-12-15,45076,28.0a2
2013-12-16,60499,28.0a2
2013-12-16,98835,29.0a1
2013-12-17,72788,28.0a2
2013-12-17,103439,29.0a1
2013-12-18,78748,28.0a2
2013-12-18,111412,29.0a1
2013-12-19,82031,28.0a2
2013-12-19,107228,29.0a1
2013-12-20,81849,28.0a2
2013-12-20,99221,29.0a1
2013-12-21,74231,28.0a2
2013-12-21,89293,29.0a1
2013-12-22,90057,29.0a1
2013-12-22,74408,28.0a2
2013-12-23,100635,29.0a1
2013-12-23,85133,28.0a2
2013-12-24,94005,29.0a1
2013-12-24,79616,28.0a2
2013-12-25,89500,29.0a1
2013-12-25,74548,28.0a2
2013-12-26,98067,29.0a1
2013-12-26,84157,28.0a2
2013-12-27,86318,28.0a2
2013-12-27,100501,29.0a1
2013-12-28,94607,29.0a1
2013-12-28,80022,28.0a2
2013-12-29,79411,28.0a2
2013-12-29,95540,29.0a1
2013-12-30,104314,29.0a1
2013-12-30,89850,28.0a2
2013-12-31,94906,29.0a1
2013-12-31,81427,28.0a2
2014-01-01,79620,28.0a2
2014-01-01,96161,29.0a1
2014-01-02,109981,29.0a1
2014-01-02,93164,28.0a2
2014-01-03,109772,29.0a1
2014-01-03,93141,28.0a2
2014-01-04,86662,28.0a2
2014-01-04,103621,29.0a1
2014-01-05,104828,29.0a1
2014-01-05,85236,28.0a2
2014-01-06,118557,29.0a1
2014-01-06,98307,28.0a2
2014-01-07,118343,29.0a1
2014-01-07,94581,28.0a2
2014-01-08,120024,29.0a1
2014-01-08,101885,28.0a2
2014-01-09,125347,29.0a1
2014-01-09,102320,28.0a2
2014-01-10,99742,28.0a2
2014-01-10,125621,29.0a1
2014-01-11,89444,28.0a2
2014-01-11,109612,29.0a1
2014-01-12,88451,28.0a2
2014-01-12,111667,29.0a1
2014-01-13,90778,28.0a2
2014-01-13,112024,29.0a1
2014-01-14,122139,29.0a1
2014-01-14,101325,28.0a2
2014-01-15,123339,29.0a1
2014-01-15,103387,28.0a2
2014-01-16,103278,28.0a2
2014-01-16,130275,29.0a1
2014-01-17,125371,29.0a1
2014-01-17,100142,28.0a2
2014-01-18,90042,28.0a2
2014-01-18,106652,29.0a1
2014-01-19,107682,29.0a1
2014-01-19,89472,28.0a2
2014-01-20,104880,28.0a2
2014-01-20,125136,29.0a1
2014-01-21,105518,28.0a2
2014-01-21,126996,29.0a1
