7,28.0a2,2013-12-10
427,29.0a1,2013-12-10
1358,29.0a1,2013-12-11
51,28.0a2,2013-12-11
83,28.0a2,2013-12-12
1447,29.0a1,2013-12-12
71,28.0a2,2013-12-13
1550,29.0a1,2013-12-13
881,28.0a2,2013-12-14
1781,29.0a1,2013-12-14
2005,29.0a1,2013-12-15
1170,28.0a2,2013-12-15
1434,28.0a2,2013-12-16
2480,29.0a1,2013-12-16
2166,29.0a1,2013-12-17
1509,28.0a2,2013-12-17
1818,29.0a1,2013-12-18
1631,28.0a2,2013-12-18
1697,29.0a1,2013-12-19
1516,28.0a2,2013-12-19
1708,29.0a1,2013-12-20
1682,28.0a2,2013-12-20
1514,29.0a1,2013-12-21
1552,28.0a2,2013-12-21
1508,29.0a1,2013-12-22
1615,28.0a2,2013-12-22
1618,28.0a2,2013-12-23
1612,29.0a1,2013-12-23
1580,28.0a2,2013-12-24
1485,29.0a1,2013-12-24
1343,28.0a2,2013-12-25
1457,29.0a1,2013-12-25
1432,29.0a1,2013-12-26
1551,28.0a2,2013-12-26
1471,29.0a1,2013-12-27
1648,28.0a2,2013-12-27
1535,29.0a1,2013-12-28
1507,28.0a2,2013-12-28
1532,29.0a1,2013-12-29
1588,28.0a2,2013-12-29
1499,29.0a1,2013-12-30
1723,28.0a2,2013-12-30
1436,29.0a1,2013-12-31
1434,28.0a2,2013-12-31
1593,28.0a2,2014-01-01
1479,29.0a1,2014-01-01
1646,28.0a2,2014-01-02
1691,29.0a1,2014-01-02
1628,29.0a1,2014-01-03
1672,28.0a2,2014-01-03
1494,28.0a2,2014-01-04
1492,29.0a1,2014-01-04
1661,28.0a2,2014-01-05
1618,29.0a1,2014-01-05
1589,28.0a2,2014-01-06
1682,29.0a1,2014-01-06
1644,28.0a2,2014-01-07
1694,29.0a1,2014-01-07
1953,29.0a1,2014-01-08
1812,28.0a2,2014-01-08
1866,29.0a1,2014-01-09
1709,28.0a2,2014-01-09
1777,28.0a2,2014-01-10
1789,29.0a1,2014-01-10
1706,29.0a1,2014-01-11
1471,28.0a2,2014-01-11
1653,29.0a1,2014-01-12
1615,28.0a2,2014-01-12
1712,28.0a2,2014-01-13
1845,29.0a1,2014-01-13
1675,28.0a2,2014-01-14
1974,29.0a1,2014-01-14
2064,29.0a1,2014-01-15
1792,28.0a2,2014-01-15
1593,28.0a2,2014-01-16
1872,29.0a1,2014-01-16
2579,29.0a1,2014-01-17
1769,28.0a2,2014-01-17
1546,28.0a2,2014-01-18
4673,29.0a1,2014-01-18
1673,28.0a2,2014-01-19
4661,29.0a1,2014-01-19
1806,28.0a2,2014-01-20
5364,29.0a1,2014-01-20
