3,28.0a2,2013-12-10
199,29.0a1,2013-12-10
523,29.0a1,2013-12-11
34,28.0a2,2013-12-11
35,28.0a2,2013-12-12
486,29.0a1,2013-12-12
17,28.0a2,2013-12-13
523,29.0a1,2013-12-13
245,28.0a2,2013-12-14
626,29.0a1,2013-12-14
626,29.0a1,2013-12-15
287,28.0a2,2013-12-15
383,28.0a2,2013-12-16
829,29.0a1,2013-12-16
653,29.0a1,2013-12-17
410,28.0a2,2013-12-17
475,29.0a1,2013-12-18
413,28.0a2,2013-12-18
492,29.0a1,2013-12-19
401,28.0a2,2013-12-19
596,29.0a1,2013-12-20
520,28.0a2,2013-12-20
465,29.0a1,2013-12-21
452,28.0a2,2013-12-21
541,29.0a1,2013-12-22
429,28.0a2,2013-12-22
453,28.0a2,2013-12-23
484,29.0a1,2013-12-23
416,28.0a2,2013-12-24
466,29.0a1,2013-12-24
341,28.0a2,2013-12-25
427,29.0a1,2013-12-25
435,29.0a1,2013-12-26
335,28.0a2,2013-12-26
486,29.0a1,2013-12-27
407,28.0a2,2013-12-27
504,29.0a1,2013-12-28
381,28.0a2,2013-12-28
530,29.0a1,2013-12-29
408,28.0a2,2013-12-29
485,29.0a1,2013-12-30
459,28.0a2,2013-12-30
492,29.0a1,2013-12-31
384,28.0a2,2013-12-31
405,28.0a2,2014-01-01
509,29.0a1,2014-01-01
386,28.0a2,2014-01-02
580,29.0a1,2014-01-02
520,29.0a1,2014-01-03
465,28.0a2,2014-01-03
377,28.0a2,2014-01-04
539,29.0a1,2014-01-04
452,28.0a2,2014-01-05
530,29.0a1,2014-01-05
374,28.0a2,2014-01-06
598,29.0a1,2014-01-06
362,28.0a2,2014-01-07
501,29.0a1,2014-01-07
597,29.0a1,2014-01-08
415,28.0a2,2014-01-08
576,29.0a1,2014-01-09
396,28.0a2,2014-01-09
525,28.0a2,2014-01-10
555,29.0a1,2014-01-10
590,29.0a1,2014-01-11
329,28.0a2,2014-01-11
513,29.0a1,2014-01-12
412,28.0a2,2014-01-12
411,28.0a2,2014-01-13
612,29.0a1,2014-01-13
383,28.0a2,2014-01-14
754,29.0a1,2014-01-14
710,29.0a1,2014-01-15
451,28.0a2,2014-01-15
389,28.0a2,2014-01-16
555,29.0a1,2014-01-16
865,29.0a1,2014-01-17
388,28.0a2,2014-01-17
381,28.0a2,2014-01-18
1772,29.0a1,2014-01-18
466,28.0a2,2014-01-19
1613,29.0a1,2014-01-19
489,28.0a2,2014-01-20
1797,29.0a1,2014-01-20
